,Loss_G,Loss_D,Loss_D_0
0,-0.08303738,7.1957536,-0.16907597
1,-0.23842692,5.781993,-0.35145885
2,-0.4829772,4.5991764,-0.56377345
3,-0.77578014,3.4436882,-0.7706967
4,-0.96863484,2.1454363,-1.0599371
5,-1.322224,1.4317119,-1.2120601
6,-1.5578351,0.63444144,-1.6460027
7,-1.9585236,0.19332296,-2.0825963
8,-2.1138818,-0.35951883,-2.6518342
9,-2.2772686,-0.6299404,-3.0068874
10,-2.3675213,-1.3246542,-3.77672
11,-2.5775127,-1.5618542,-4.2300134
12,-2.6083486,-1.8812412,-4.597788
13,-2.524406,-2.2369132,-4.9426346
14,-2.532481,-2.6650605,-5.349017
15,-2.490572,-2.658773,-5.324279
16,-2.3625634,-2.6794748,-5.2384677
17,-2.202035,-3.0067067,-5.430128
18,-2.053379,-3.1043766,-5.3669677
19,-1.9081166,-3.2980087,-5.421567
20,-1.6330438,-3.426272,-5.2902613
21,-1.3590143,-3.731636,-5.4208083
22,-1.3417761,-3.418782,-5.043009
23,-1.1512804,-3.5831947,-5.03007
24,-1.0368053,-3.8318496,-5.119899
25,-0.969368,-3.5068073,-4.811057
26,-1.0126878,-3.528528,-4.882137
27,-1.0611031,-3.4097762,-4.786969
28,-1.2269279,-3.0974245,-4.738619
29,-1.193158,-3.2876592,-4.853765
30,-1.2884564,-3.3879812,-5.0288615
31,-1.3054458,-3.4007266,-4.975043
32,-1.2288535,-3.224165,-4.8373823
33,-1.3229252,-3.1946285,-4.8549404
34,-1.285173,-3.315325,-4.914424
35,-1.206615,-3.2657657,-4.7908363
36,-1.2318076,-3.3217993,-4.8161254
37,-1.3918219,-3.2277145,-4.904862
38,-1.2349049,-3.1711726,-4.67657
39,-1.5461252,-2.9473834,-4.747232
40,-1.580624,-2.943911,-4.81452
41,-1.6233399,-2.9230664,-4.8002477
42,-1.7330669,-2.792575,-4.754909
43,-1.752425,-3.162129,-5.1319566
44,-1.8752549,-2.6970556,-4.839999
45,-1.8391706,-2.7716422,-4.873035
46,-1.9925356,-2.8129427,-5.074726
47,-2.2660909,-2.748888,-5.237155
48,-2.2786753,-2.6000571,-5.170143
49,-2.2317865,-2.6895468,-5.1408634
50,-2.3648183,-2.612071,-5.222735
51,-2.444738,-2.263748,-4.9744616
52,-2.6939168,-2.4807427,-5.3846865
53,-2.7226276,-2.3643417,-5.3238544
54,-2.8555465,-2.146801,-5.211886
55,-2.9078665,-2.7149549,-5.8390055
56,-3.0764344,-2.4490016,-5.761089
57,-3.1948347,-2.3803248,-5.788625
58,-3.0835378,-2.5632102,-5.849369
59,-3.1705189,-2.463919,-5.831317
60,-3.3137782,-2.1613812,-5.6663775
61,-3.2802207,-2.145033,-5.605833
62,-3.4500098,-2.2435532,-5.8967547
63,-3.4583259,-2.3462687,-6.010593
64,-3.28345,-2.3323097,-5.7859964
65,-3.3896124,-2.037353,-5.595627
66,-3.4037123,-1.9763192,-5.5374384
67,-3.3208394,-1.798308,-5.2719865
68,-3.5774956,-2.124768,-5.933482
69,-3.7235403,-2.001895,-5.865484
70,-3.8770115,-1.8346438,-5.9057016
71,-3.7801201,-2.0993605,-6.061509
72,-3.9831183,-1.7367402,-5.88799
73,-3.8712435,-1.8845627,-5.889258
74,-3.9034934,-1.6226602,-5.6496162
75,-3.9037333,-1.858355,-5.8973536
76,-3.9298577,-1.8313996,-5.948681
77,-3.9859655,-1.6637615,-5.7739906
78,-4.009889,-1.8565928,-6.0165854
79,-3.9752674,-1.6408355,-5.7600784
80,-4.2096257,-1.7315309,-6.0700827
81,-4.189785,-1.4693998,-5.80107
82,-4.186508,-1.5705439,-5.883448
83,-4.1587462,-1.6059971,-5.907162
84,-4.230914,-1.7058835,-6.0770817
85,-4.29363,-1.5848873,-6.0116835
86,-4.277272,-1.4024448,-5.827667
87,-4.301744,-1.6380062,-6.0932198
88,-4.214602,-1.3574305,-5.6837893
89,-4.315636,-1.4867651,-5.929173
90,-4.2146964,-1.4565127,-5.82495
91,-4.149497,-1.4328723,-5.720714
92,-4.259405,-1.5413332,-5.919035
93,-4.25331,-1.3107307,-5.6811743
94,-4.41271,-1.3936453,-5.9335175
95,-4.2052116,-1.2536771,-5.570984
96,-4.597144,-0.9998593,-5.6867065
97,-4.4737177,-1.0980103,-5.6821685
98,-4.4213552,-1.1421059,-5.6922035
99,-4.2698154,-1.4491678,-5.870515
100,-4.4186835,-1.1658221,-5.6989923
101,-4.454125,-0.9744373,-5.5334682
102,-4.3558955,-0.98395944,-5.463324
103,-4.516301,-1.3497443,-6.004874
104,-4.500106,-1.1632951,-5.772032
105,-4.6438737,-1.0335343,-5.780344
106,-4.6993356,-0.9891566,-5.790731
107,-4.6195393,-1.1530666,-5.887365
108,-4.496746,-1.1647238,-5.7632856
109,-4.7464423,-0.8543492,-5.6977925
110,-4.694189,-1.0437031,-5.837532
