,Loss_G,Loss_D,Loss_D_0
0,0.16284089,5.550785,0.030965246
1,0.121518895,5.56724,0.05786907
2,0.089013696,5.4968843,0.0028889272
3,0.16585776,5.0231066,0.021467296
4,0.09417207,4.937403,0.012879936
5,-0.009751132,4.971963,-0.02085695
6,0.09076278,4.4810996,0.0032248423
7,-0.07143119,4.348569,-0.025571857
8,-0.105607696,4.1275663,-0.051105052
9,-0.20014256,4.035152,-0.058233187
10,-0.16827092,3.3961742,-0.19441116
11,-0.12228677,3.0402923,-0.2005162
12,-0.32401466,3.17377,-0.22071172
13,-0.26636872,2.6120594,-0.27152544
14,-0.19960271,2.0166628,-0.29092583
15,-0.45045432,1.7631537,-0.3750561
16,-0.29301286,1.5912747,-0.42417777
17,-0.3290986,1.4836757,-0.33044618
18,-0.34183788,0.9902315,-0.44187257
19,-0.5516775,0.77975285,-0.584426
20,-0.497156,0.4614664,-0.68178415
21,-0.48556915,0.3139065,-0.7178041
22,-0.45551902,0.25508037,-0.73852867
23,-0.500772,0.27237087,-0.8014698
24,-0.5871924,0.21705237,-0.87763727
25,-0.5576557,0.189421,-0.7210577
26,-0.4774617,-0.17499256,-0.93043315
27,-0.56870484,0.3315403,-0.71393096
28,-0.6815033,0.33592975,-0.79383314
29,-0.3353423,-0.2681579,-0.8938832
30,-0.36312273,-0.16051954,-0.8217311
31,-0.4080763,0.032545656,-0.842016
32,-0.27681035,-0.11213052,-0.7990413
33,-0.1310135,-0.49547443,-0.94760215
34,-0.16208199,-0.15902382,-0.6652726
35,0.055363875,-0.430855,-0.7118278
36,0.04417634,-0.31716263,-0.6143766
37,0.07834283,-0.31778693,-0.63646984
38,0.43438172,-0.51265764,-0.39793867
39,0.1968658,-0.27964935,-0.54407364
40,0.47985873,-0.650262,-0.50008345
41,0.61236584,-0.8353101,-0.5447392
42,0.68849313,-0.55523986,-0.3063336
43,0.75510025,-0.84622276,-0.413065
44,0.94893944,-0.8601705,-0.30222473
45,0.90939206,-0.62072825,-0.2063178
46,0.7355544,-0.620996,-0.21538717
47,0.92842853,-0.7164899,-0.20590812
48,1.1879821,-1.0167289,-0.08254684
49,1.2002826,-0.77278405,0.038143754
50,1.2402091,-1.0497704,-0.08551768
51,1.3606118,-0.97354436,-0.061865434
52,1.3310935,-1.0519493,-0.0039749863
53,1.6794847,-1.0467305,0.35396057
54,1.5105702,-0.94560206,0.17500228
55,1.6062675,-0.8890266,0.37753716
56,1.5384789,-0.80039144,0.3377837
57,1.8576062,-1.1728033,0.18292706
58,1.6833284,-1.1149836,0.31601444
59,1.6721369,-0.7451093,0.5157871
60,1.750314,-0.78079367,0.5443921
61,1.926095,-1.0377473,0.4676864
62,1.9072536,-0.98517525,0.51227945
63,2.0074532,-0.9099021,0.59517235
64,1.9522945,-1.0346311,0.5047877
65,1.9865319,-1.142528,0.4606607
66,1.9772992,-1.0204772,0.47672296
67,1.9704959,-1.0505453,0.5575738
68,2.1128597,-1.0806372,0.7353078
69,2.0741007,-0.9717684,0.8033315
70,1.9743754,-0.76883745,0.80315816
71,1.9937837,-1.0838206,0.67618316
72,2.237003,-1.0174377,0.8634905
73,2.1825297,-1.0239642,0.8169676
74,1.9582331,-0.7906157,0.8452064
75,2.017199,-1.0525019,0.6862929
76,2.1753757,-0.97100407,0.94129956
77,2.1342368,-1.085739,0.7684007
78,2.1127176,-1.0951103,0.7378036
79,1.9479516,-0.71146053,0.8142594
80,2.0012228,-0.785952,0.86819696
81,2.1488056,-1.0757766,0.67812586
82,2.0383701,-0.9238504,0.91645586
83,2.0484672,-0.82645667,0.8954741
84,2.0587919,-0.7579046,0.9439383
85,2.070107,-0.87867564,0.7873758
86,2.063233,-0.7703884,0.91020215
87,2.0478866,-0.9572953,0.80912316
88,1.7557507,-0.50922346,0.84790385
89,2.0604815,-0.8173113,0.97060233
90,1.969224,-0.8215045,0.8047988
91,2.0461223,-0.95434284,0.8203454
92,2.1060853,-0.6185405,0.91254777
93,2.2132185,-0.86749005,1.0075512
94,2.1661937,-0.900122,0.97797006
95,2.1513371,-0.8529524,0.936682
96,2.0019388,-0.8681525,0.8700448
97,1.9555995,-0.82064724,0.8704157
98,2.0809216,-0.6502709,0.9841648
99,2.0816455,-0.87740254,0.8866564
100,2.058739,-0.8138296,0.93917286
101,1.9890873,-0.74299836,0.95346403
102,2.0006776,-0.7393939,1.0150998
103,1.885522,-0.6024419,0.8688657
104,2.1424053,-0.90642303,0.9661617
105,2.1501815,-0.90207267,0.928179
106,2.066627,-0.88910896,0.8681063
107,1.962666,-0.6395049,0.9558147
108,1.9406853,-0.63193333,0.97143126
109,2.0330317,-0.7083936,0.8779813
110,1.8044949,-0.41092223,1.0222766
111,2.0425673,-0.54827756,1.1250578
112,2.003848,-0.65377235,1.0412676
113,2.047739,-0.9174833,0.85585916
114,1.8144886,-0.6411761,0.95184696
115,2.1237304,-0.72647333,1.1253216
116,1.9083476,-0.40530583,1.0607487
117,1.9055333,-0.7931154,0.8313852
118,2.000405,-0.7327731,0.9649817
119,1.925913,-0.76204777,0.9600774
120,1.9569485,-0.7185601,0.968955
121,1.8638682,-0.77770686,0.8673791
122,1.9172261,-0.6223457,0.9945967
123,1.9792006,-0.79978406,0.9112023
124,1.7544175,-0.2995599,1.0918124
125,2.0561008,-0.68765837,1.0819073
126,1.7502141,-0.5227839,0.9420227
127,1.8059461,-0.6425979,0.91663224
128,1.9346306,-0.7987094,0.909086
129,1.696144,-0.5078027,0.8892969
130,1.7225854,-0.5941428,0.8796348
131,1.7015488,-0.3907355,0.98092824
132,1.8899956,-0.8362495,0.80905426
133,1.7709146,-0.57158875,0.84867924
134,1.9055227,-0.7081692,0.9213058
135,1.6610023,-0.6520678,0.7665476
136,1.7296054,-0.4558799,0.9638337
137,1.8995953,-0.80579907,0.8505101
138,1.7319596,-0.419051,0.9274398
139,1.7542691,-0.53382605,0.94068253
140,1.8571697,-0.62982,0.91142255
141,1.6444788,-0.40022963,1.0016173
142,1.6323931,-0.5900516,0.79369354
143,1.5822318,-0.20566572,0.9293488
144,1.737577,-0.6530923,0.84420013
145,1.53334,-0.29324362,0.9879358
146,1.4552178,-0.24811606,0.94575745
147,1.540448,-0.29278564,0.96536857
148,1.625961,-0.3766163,1.0202591
149,1.7396467,-0.37277138,1.0118053
150,1.669977,-0.34926683,1.0817578
151,1.6358894,-0.36932635,0.9574221
152,1.6620424,-0.5042956,0.9410314
153,1.6894882,-0.33765328,0.94330573
154,1.5883923,-0.47497153,0.86899745
155,1.5821323,-0.35536385,0.9694044
156,1.6712984,-0.5176531,0.81679606
157,1.4818382,-0.39195266,0.76384056
158,1.5889992,-0.50032717,0.8397558
159,1.6907336,-0.4160372,0.98585474
160,1.4786468,-0.31635028,0.94236475
161,1.5668716,-0.31593674,0.98250437
162,1.4815832,-0.5213089,0.7258751
163,1.4618249,-0.29627812,0.9048661
164,1.5541468,-0.535079,0.7621324
165,1.621072,-0.40774426,0.8842703
166,1.366723,-0.22315553,0.9061931
167,1.4637408,-0.27282792,0.77832323
168,1.400425,-0.2507338,0.9320425
169,1.4033916,-0.28680623,0.7554524
170,1.3876185,-0.44174436,0.73253095
171,1.35764,-0.2920701,0.849573
172,1.2836146,-0.09247872,0.92384994
173,1.3295219,-0.0687411,0.95589405
174,1.1828423,-0.04097616,0.9054072
175,1.3440926,-0.28132337,0.8069353
176,1.5240325,-0.51515925,0.81370664
177,1.4436691,-0.14050114,1.0427535
178,1.4011147,-0.22537576,0.9162491
179,1.3518847,-0.13535632,0.94065255
180,1.3425907,-0.28758353,0.813298
181,1.3187301,-0.13077015,0.91396785
182,1.2728992,-0.048360616,0.90676534
183,1.4312093,-0.37370715,0.84448886
184,1.361372,-0.26504576,0.8760443
185,1.3342645,-0.012515292,0.9317428
186,1.3868897,-0.20165542,0.88995814
187,1.4505951,-0.18659145,0.97651994
188,1.6153448,-0.43881214,0.97748524
189,1.4128184,-0.29754913,0.92083836
190,1.3415594,-0.22716647,0.82224
191,1.4051342,-0.33872396,0.82009953
192,1.2893634,0.00046743453,1.0445602
193,1.4153395,-0.013944104,1.1050708
194,1.2288702,-0.05761017,0.8628441
195,1.2249577,-0.11360201,0.8438455
196,1.3146775,-0.21106476,0.8535696
197,1.2002633,-0.004862651,0.9002687
198,1.3250635,-0.1952578,0.865059
199,1.1826453,-0.1151987,0.7893647
200,1.3515198,-0.30064738,0.76375127
201,1.2977562,-0.24249342,0.8169366
202,1.2037458,-0.2708752,0.74449486
203,1.136878,0.12079905,0.8752744
204,1.2364396,-0.0067686737,0.9911028
205,1.3130747,-0.04413192,1.0682622
206,1.1855669,0.22221568,1.1164272
207,1.1769435,0.13381225,1.0616046
208,1.4154189,-0.23896128,0.9255191
209,1.2941294,-0.01049979,1.100967
210,1.3022211,-0.058018923,0.9594343
211,1.3996332,-0.27380645,0.9345039
212,1.42119,-0.3131351,0.8168488
213,1.2039785,0.022621743,0.96136993
214,1.3796545,-0.13547955,0.95759153
215,1.3027873,-0.050675333,0.9595033
216,1.161874,0.19437844,1.1070559
217,1.2532325,-0.16053705,0.8919411
218,1.0640433,0.12247002,0.83707774
219,1.4894987,-0.27958316,0.9576652
220,1.5810179,-0.13918298,1.1499108
221,1.2425017,0.1164586,1.1182268
222,1.2768824,0.01982665,1.0819039
223,1.2829049,-0.35336584,0.6908239
224,1.0600445,0.24837044,1.023337
225,1.1507506,0.097240664,0.9790788
226,1.271399,0.0723738,1.1092801
227,1.0412107,0.11757979,0.9780892
228,1.3192234,0.009791523,1.0470915
229,1.3261188,-0.2105496,0.93976563
230,1.5123656,-0.3514946,0.97655755
231,1.2594414,0.22413486,1.2578372
232,1.232816,0.06718976,1.0910909
233,1.3922927,-0.057725325,1.0145575
234,1.3323088,-0.17634735,1.0009854
235,1.4041237,-0.057229325,1.1058211
236,1.3936979,0.002147235,1.0397211
237,1.225943,0.04950831,1.0663674
238,1.2323636,0.1426567,1.1021117
239,1.339329,-0.10412909,0.99795014
240,1.1916695,0.105333775,1.1204138
241,1.1119788,0.33789948,1.2244577
242,1.3170295,-0.1258305,0.9663081
243,1.4641452,-0.010402888,1.186041
244,1.1003532,0.3239649,1.2393184
245,1.2140825,0.0397133,1.0530391
246,1.4081953,-0.19445835,1.0098046
247,1.2632644,0.32581103,1.3196535
248,1.1710038,0.028024487,1.004466
249,1.2020565,0.23167503,1.1276593
250,1.2397268,0.12574744,1.1225375
251,1.2136908,0.07160233,0.99029684
252,1.1519842,0.20498857,1.1080929
253,1.1848836,0.24215561,1.1724241
254,1.2387531,0.090800434,1.0607648
255,1.3491845,-0.0006494224,1.1568224
256,1.1203058,0.22816592,1.1364734
257,1.1511445,0.28796864,1.143929
258,1.3349471,0.05225858,1.0740535
259,1.4036286,0.21716273,1.2450461
260,1.4667747,-0.030678533,1.215678
261,1.4304351,-0.004450977,1.1102557
262,1.4011565,0.3051742,1.3561634
263,1.324754,0.3757264,1.4359164
264,1.460854,-0.11192109,1.0878179
265,1.345307,0.0029145256,1.1580269
266,1.6150104,-0.011695489,1.3322318
267,1.3267868,0.12298842,1.1900957
268,1.4942865,0.09707017,1.3452452
269,1.4685109,0.1576146,1.3299321
270,1.4078023,0.0043677613,1.1868113
271,1.4140425,-0.027190506,1.1474334
272,1.2648692,0.25532675,1.2818216
273,1.4339185,-0.081801414,1.0770209
274,1.4859823,-0.08449016,1.173857
275,1.4000651,0.11660814,1.2453381
276,1.2331094,0.18970129,1.1528621
277,1.3764532,-0.0633146,1.1186538
278,1.257931,0.029479705,1.099915
279,1.196739,0.06851506,1.0333216
280,1.312083,0.06745727,1.145285
281,1.3389128,0.0051556677,1.0732641
282,1.244771,0.6153054,1.4292268
283,1.3893191,-0.10721497,1.0108128
284,1.4863048,0.021594062,1.312515
285,1.4301416,0.025760606,1.2224405
286,1.3923287,0.31325656,1.320358
287,1.5555043,-0.11720236,1.2221379
288,1.5532951,-0.053100336,1.3437378
289,1.5164162,0.22167799,1.4469081
290,1.2321517,0.39425758,1.354265
291,1.4643304,0.17643753,1.3417774
292,1.4359022,-0.038044974,1.1836808
293,1.4120247,0.09959747,1.2017914
294,1.3236625,0.15373592,1.1409371
295,1.5222297,0.15260941,1.27335
296,1.3687103,0.07443467,1.2028389
297,1.4535668,-0.0032299012,1.2149699
298,1.4326265,0.13880455,1.205493
299,1.3993337,-0.012670398,1.061665
300,1.4844861,-0.03511878,1.2599458
301,1.5362253,-0.002947405,1.2391629
302,1.3515985,0.18312483,1.2792516
303,1.4206265,-0.0200378,1.1166182
304,1.2604442,0.24489054,1.1989492
305,1.2438769,0.009942509,0.9957938
306,1.3120695,0.09266855,1.1547042
307,1.3328304,-0.017511547,1.1193537
308,1.2196639,0.25773597,1.2195255
309,1.3320985,0.12375587,1.1569853
310,1.325017,0.040020995,1.0776334
311,1.1671534,0.15184532,1.0601397
312,1.431425,-0.058718584,1.0904365
313,1.4711957,-0.012847558,1.1966588
314,1.3666676,-0.029814444,1.1324425
315,1.506923,0.06715348,1.3565965
316,1.405757,-0.1193607,1.049451
317,1.4969647,0.12632775,1.3298908
318,1.4039127,0.043257315,1.2577685
319,1.4713368,-0.02652061,1.0644637
320,1.3645313,0.25117767,1.3138931
321,1.5986192,-0.15804717,1.1717625
322,1.5241752,-0.218048,1.0270691
323,1.5405905,-0.05475287,1.2090205
324,1.1886563,0.0782882,1.0105228
325,1.284614,-0.19522657,0.84994376
326,1.2671539,-0.054704487,0.9662168
327,1.291884,0.09466006,1.0791893
328,1.514285,-0.042400353,1.1920435
329,1.4545722,-0.28685743,0.953592
330,1.3150271,0.023372486,1.1576113
331,1.3172009,0.06889441,1.156734
332,1.1408744,0.083109885,0.948759
333,1.2530634,0.07163688,1.0530509
334,1.2460253,0.10580877,1.0494859
335,0.9958377,-0.064443976,0.65420556
336,1.1476592,-0.0587539,0.7471155
337,1.0458796,0.14682202,0.91251194
338,1.0020589,-0.16510445,0.6220443
339,0.7753879,0.10118243,0.6322297
340,0.91061944,-0.14687121,0.59545976
341,0.9841835,-0.011291221,0.6553062
342,1.024919,-0.037384927,0.7266104
