,Loss_G,Loss_D,Loss_D_0
0,-0.09296943,6.902363,-0.14167973
1,-0.23396069,6.5576363,-0.21737486
2,-0.27041703,5.8312707,-0.31603783
3,-0.42155755,5.0822744,-0.42789045
4,-0.5795529,4.5476985,-0.51237714
5,-0.6321753,4.102488,-0.5763563
6,-0.88686097,3.2862263,-0.7271918
7,-1.2188182,2.948823,-0.81942654
8,-1.4554896,2.5807762,-0.9871093
9,-1.7498926,2.0152373,-1.2187102
10,-1.9490104,1.741913,-1.301302
11,-2.081521,1.4344392,-1.367331
12,-2.300902,1.3517208,-1.4582653
13,-2.5105515,1.258382,-1.6385665
14,-2.6260803,1.1027436,-1.7824829
15,-2.6709647,1.2001263,-1.7496928
16,-2.7017195,1.2003903,-1.769342
17,-2.660633,1.0889068,-1.8012438
18,-2.5739217,0.9099309,-1.8568417
19,-2.7050517,1.1455466,-1.7468235
20,-2.5517206,1.0141755,-1.7570082
21,-2.519339,1.0001767,-1.7236943
22,-2.5442662,1.0004735,-1.7125026
23,-2.564328,0.98148096,-1.7593668
24,-2.3957205,0.8675182,-1.6985759
25,-2.4961793,0.9866233,-1.6903608
26,-2.3764522,1.039403,-1.4940157
27,-1.9825838,0.63240266,-1.5641541
28,-2.09558,0.8835696,-1.4629233
29,-2.061189,0.8482069,-1.434402
30,-2.005705,0.78152597,-1.3861735
31,-1.9349082,0.7143729,-1.3899448
32,-1.7633827,0.7865871,-1.2124323
33,-1.6876117,0.70724815,-1.2200446
34,-1.5310975,0.53334165,-1.1986144
35,-1.439726,0.41660842,-1.1559743
36,-1.4539783,0.48651844,-1.1491191
37,-1.1914539,0.24120277,-1.1293535
38,-1.1842567,0.37498346,-0.96563894
39,-1.0635266,0.27931118,-0.9472213
40,-1.0601726,0.20954952,-1.0182211
41,-0.9143111,0.14239606,-0.9350631
42,-0.6694459,-0.18456969,-1.006892
43,-0.6183645,-0.03536681,-0.8514136
44,-0.44626486,-0.10339003,-0.71053773
45,-0.24047425,-0.44394135,-0.81695783
46,-0.20298262,-0.39652216,-0.7394986
47,0.054707475,-0.43102664,-0.5523809
48,0.19596484,-0.47924164,-0.46906984
49,0.45142972,-0.7929662,-0.4955577
50,0.6791477,-0.71760345,-0.2279994
51,0.72319937,-0.7454605,-0.23049468
52,1.1079402,-1.0503552,-0.12362144
53,1.1087263,-0.9392952,-0.012266081
54,1.1900759,-0.98403513,0.023452755
55,1.511687,-1.240126,0.08619311
56,1.5947412,-1.2676183,0.14816065
57,1.6786015,-1.1461121,0.24890998
58,1.8521241,-1.3274748,0.31820393
59,2.0299804,-1.5172219,0.28223327
60,2.168581,-1.5734463,0.33034876
61,2.1964111,-1.4973714,0.4464705
62,1.7902831,-1.1817005,0.31331944
63,2.0564926,-1.5121098,0.24635386
64,2.0157166,-1.2661908,0.35759503
65,1.9862177,-1.2387804,0.47541255
66,2.1062207,-1.3083566,0.4878473
67,1.9929456,-1.3569055,0.41379565
68,1.9494495,-1.3695806,0.40421316
69,1.9525464,-1.1926942,0.5629908
70,1.9249889,-1.1019248,0.6021898
71,2.055146,-1.2197361,0.5210714
72,2.0069451,-1.1851605,0.6420079
73,2.0327284,-1.2030158,0.5809885
74,1.9883162,-1.1528351,0.619339
75,1.8906932,-1.0984683,0.5674156
76,2.0119913,-1.1193253,0.68642306
77,2.2313914,-1.1190951,0.8305871
78,2.0357673,-1.0182378,0.81944025
79,2.1402755,-1.293883,0.63489836
80,2.1606333,-1.0960829,0.89051044
81,2.048872,-0.88509196,0.8707248
82,2.251813,-1.2490104,0.8164615
83,2.4683511,-1.4462552,0.76813006
84,2.3662353,-1.2502214,0.9270326
85,2.091933,-0.93733096,1.0116439
86,2.1147938,-0.8809078,0.983745
87,2.1636038,-0.9564425,1.0559261
88,1.9803842,-1.0548961,0.73538315
89,2.2849689,-1.2757852,0.838104
90,2.089346,-0.95001805,0.9488763
91,2.1738882,-1.013534,0.9247058
92,2.2923784,-1.0978478,0.9369929
93,2.312542,-1.2416208,0.8751324
94,2.2270935,-1.0456632,0.9680903
95,2.4033275,-1.346237,0.8623091
96,2.2784352,-1.016303,0.9358854
97,2.2570953,-0.95045495,1.0599992
98,2.484868,-1.3524058,0.9433068
99,2.5373216,-1.3385139,1.046077
100,2.2294507,-0.98139644,1.0263152
101,2.3575542,-1.0965556,1.0752405
102,2.6979737,-1.2754822,1.0782847
103,2.2853494,-1.1006029,1.0362895
104,2.6622667,-1.2110758,1.2199411
105,2.6441965,-1.3691766,1.058145
106,2.6364985,-1.0305996,1.3730577
107,2.7570457,-1.1321206,1.4127458
108,2.8075123,-1.2205659,1.3966845
109,2.7786102,-0.9681397,1.6030219
110,2.7522283,-0.8873519,1.540182
111,2.7208138,-0.8691609,1.5993568
112,2.8091512,-0.9005722,1.7295856
113,2.9189894,-1.1183479,1.5843575
114,3.0913415,-1.0877736,1.8415728
115,3.0393572,-1.1218216,1.696694
116,2.8179643,-0.81650335,1.791298
117,3.0754533,-1.1030754,1.7080679
118,2.8280554,-1.0355644,1.5619023
119,2.8666968,-1.0689744,1.5286715
120,3.021449,-1.3020855,1.5010215
121,2.861855,-1.1612685,1.4855785
122,2.648806,-0.77479327,1.6507647
123,2.7528276,-1.2165822,1.3677156
124,2.5652666,-0.7868632,1.5731351
125,2.513861,-0.66496897,1.4879571
126,2.7085314,-1.1382147,1.3459445
127,2.449041,-0.7292519,1.5602324
128,2.6231284,-0.90839946,1.5421319
129,2.6523333,-0.9290949,1.4454429
130,2.3868942,-0.71781003,1.4467057
131,2.805027,-1.0248926,1.5887115
132,2.7292519,-0.8379066,1.6860662
133,2.7261782,-0.80633515,1.7396151
134,2.6427617,-0.6258874,1.7896214
135,2.676456,-0.49940857,1.9734272
136,2.569621,-0.6085039,1.7111909
137,2.8214788,-0.7840555,1.8829644
138,2.6412063,-0.8016331,1.6827985
139,2.6561284,-0.87952507,1.5812852
140,2.5818124,-0.89881337,1.5053151
141,2.5716553,-0.8891672,1.4500163
142,2.586649,-0.750401,1.6607647
143,2.2834902,-0.6151137,1.5225241
144,2.4529321,-0.5809006,1.6697464
145,2.5007875,-0.7581927,1.5897186
146,2.5553598,-0.84748155,1.529874
147,2.5018644,-0.8565209,1.4541359
148,2.5442402,-0.7369336,1.5917361
149,2.4828486,-0.69424343,1.580574
150,2.5653448,-0.77151334,1.6114936
151,2.5322042,-0.6019389,1.718507
152,2.5238357,-0.31505838,1.8696902
153,2.6227949,-0.74867016,1.7094152
154,2.6273506,-0.76178,1.6975365
155,2.6015778,-0.8513489,1.5532182
156,2.4455657,-0.58073974,1.6698267
157,2.3660693,-0.5781031,1.6380532
158,2.3306475,-0.75281525,1.4416871
159,2.2202377,-0.29322928,1.6726071
160,2.1227155,-0.538694,1.4431779
161,2.3283892,-0.6309248,1.4348366
162,2.1562853,-0.32473674,1.6291904
163,2.193039,-0.3757108,1.7086122
164,2.5575576,-0.77389884,1.5843551
165,2.392693,-0.7562983,1.5322764
166,2.336372,-0.42628384,1.7310678
167,2.2327824,-0.49854746,1.6070855
168,2.3648891,-0.5544942,1.5943779
169,2.3247986,-0.55814946,1.5806746
170,2.2591197,-0.64462787,1.5195162
171,2.2633057,-0.50831103,1.5655172
172,2.3726282,-0.69597,1.5345502
173,2.245944,-0.60033303,1.3991575
174,2.2723246,-0.40205377,1.6241431
175,2.4117274,-0.5946198,1.6614916
176,2.2317915,-0.4616142,1.5634685
177,2.2160225,-0.3848735,1.6581504
178,2.2969346,-0.57241094,1.5462298
179,2.3891168,-0.5874241,1.6574414
180,2.2842078,-0.46094364,1.7118831
181,2.4719076,-0.6556711,1.7143352
182,2.2332711,-0.4557546,1.5583065
183,2.0637121,-0.37002277,1.5398377
184,2.09478,-0.5908514,1.3583984
185,2.0563807,-0.5075343,1.4113307
186,1.7134883,-0.26609838,1.2260919
187,2.0404086,-0.52684146,1.3959862
188,1.8769829,-0.3235096,1.3712866
189,1.8058193,-0.509592,1.160677
190,1.8606305,-0.2977578,1.3440661
191,1.7925498,-0.48960954,1.1242372
192,1.8413415,-0.45918983,1.1481481
193,2.0198731,-0.31293136,1.4401736
194,2.16749,-0.4844502,1.5495021
195,2.241677,-0.48124173,1.5591962
196,2.157844,-0.4994239,1.5193748
197,2.0385146,-0.55132437,1.3096225
198,2.0190651,-0.40640146,1.4431849
199,1.9831675,-0.53759766,1.2861362
200,1.9005775,-0.4566841,1.2848583
201,1.7122872,-0.4324509,1.1055036
202,2.0338879,-0.705853,1.1587055
203,1.8385506,-0.39759338,1.2648399
204,2.0700934,-0.60659266,1.2995045
205,1.9135022,-0.2362113,1.4809964
206,2.0251894,-0.5859956,1.2961031
207,1.9972394,-0.50750744,1.3318093
208,1.8215511,-0.24028899,1.3074741
209,1.8519279,-0.6357882,1.0666262
210,1.6534357,-0.37156272,1.1186923
211,1.6454844,-0.41999656,1.0740976
212,1.7178893,-0.36394873,1.1763899
213,1.4899414,-0.1561994,1.1935042
214,1.93116,-0.6891304,1.0126275
215,1.6293273,-0.36701775,1.1543466
216,1.8066523,-0.5463237,1.1114662
217,1.7120268,-0.41884127,1.0249171
218,1.7651309,-0.34000322,1.2289293
219,1.5913666,-0.43738496,1.0341563
220,1.5074865,-0.13416594,1.2197301
221,1.819283,-0.57155645,1.0650084
