,Loss_G,Loss_D,Loss_D_0
0,0.00048058067,9.084452,-0.06798882
1,-0.020702004,8.582171,-0.23202825
2,-0.048308168,7.894227,-0.4100847
3,-0.08403344,7.005174,-0.6490441
4,-0.14851402,5.9354744,-0.94147694
5,-0.26226646,4.4510627,-1.4275047
6,-0.47041586,1.95658,-2.298577
7,-0.80567074,-1.5688167,-4.3126574
8,-0.9300519,-2.0120754,-4.3333387
9,-1.0333943,-2.1735394,-4.4887056
10,-1.1210294,-1.984063,-4.6234245
11,-1.2665434,-2.8452966,-5.176973
12,-1.4291978,-3.2078485,-5.397471
13,-1.479963,-3.7691221,-5.8077884
14,-1.6276363,-3.897989,-5.962319
15,-1.6255444,-3.9055388,-5.937556
16,-1.7683836,-3.854769,-6.1038547
17,-1.8246806,-4.0492206,-6.202372
18,-1.8937392,-3.9574726,-6.3543606
19,-1.9814845,-4.0125685,-6.448101
20,-2.2094598,-3.8619585,-6.5041986
21,-2.3373442,-3.916882,-6.6204987
22,-2.5202303,-3.882739,-6.79254
23,-2.6138563,-3.790608,-6.7304707
24,-2.7631557,-3.8686404,-6.9157476
25,-2.9323092,-3.7758412,-7.1224127
26,-3.1403766,-3.6764498,-7.153271
27,-3.3057702,-3.5047293,-7.1178184
28,-3.4342375,-3.5760067,-7.3055115
29,-3.6268458,-3.505113,-7.4688315
30,-3.833446,-3.2805972,-7.391387
31,-3.9976993,-3.2411091,-7.523046
32,-4.1717997,-3.0849125,-7.602802
33,-4.200207,-3.1720285,-7.6322904
34,-4.279075,-2.9927616,-7.5589304
35,-4.546416,-2.7010117,-7.4978733
36,-4.6582775,-2.6799946,-7.545145
37,-4.777546,-2.5690036,-7.5859823
38,-4.8485928,-2.565507,-7.662791
39,-4.935109,-2.3646412,-7.6809106
40,-4.989614,-2.393927,-7.6194634
41,-5.1134973,-2.5007586,-7.869796
42,-4.987868,-2.5182292,-7.8185773
43,-5.2145195,-2.4556355,-8.00172
44,-5.4492006,-2.2436547,-8.039238
45,-5.653822,-2.2425535,-8.206651
46,-6.090269,-2.3030496,-8.786724
47,-6.3561554,-2.390408,-9.060302
48,-6.5996165,-2.338854,-9.296406
49,-7.21256,-2.4100084,-10.011765
50,-7.481031,-2.1598165,-10.1086
51,-7.7072015,-2.24619,-10.45033
52,-7.76486,-2.4012518,-10.488079
53,-7.9575467,-2.1283476,-10.561171
54,-8.187931,-1.9764762,-10.536953
55,-8.217455,-2.0190847,-10.610043
56,-8.349976,-1.7461808,-10.697577
57,-8.512515,-2.1620877,-11.158382
58,-8.721159,-1.916523,-10.995507
59,-8.907894,-1.7768381,-11.287102
60,-9.070887,-1.7074978,-11.28478
61,-9.330068,-1.6251864,-11.621501
62,-9.318174,-1.7833674,-11.652271
63,-9.530614,-1.8463603,-11.827912
64,-10.175994,-1.8535426,-12.458737
65,-10.489591,-1.8843702,-12.959263
66,-10.705156,-1.8005311,-12.833464
67,-10.571919,-1.9604102,-13.008518
68,-10.506847,-1.8778352,-12.865827
69,-10.784544,-1.8785597,-13.177663
70,-11.143566,-2.1770773,-13.950509
71,-11.096322,-2.0388443,-13.617322
72,-11.929264,-1.818564,-14.404735
73,-11.498903,-2.0089154,-14.09891
74,-12.149994,-2.1461687,-14.859366
75,-12.698617,-1.4522954,-14.880473
76,-12.773032,-1.5101602,-14.98151
77,-13.356398,-1.2655885,-15.254359
78,-13.734066,-1.7674813,-16.05608
79,-14.269484,-1.7042214,-16.701637
80,-15.119863,-1.8934046,-17.639833
81,-15.228999,-1.7342093,-17.546104
