,Loss_G,Loss_D,Loss_D_0
0,-0.15818703,1.7612857,-0.10657733
1,-0.037942976,1.270238,-0.15857445
2,0.28576297,0.4339377,-0.53606343
3,0.4809601,-0.19281428,-0.6633003
4,0.5881886,-0.47244442,-0.83121586
5,0.6532639,-0.8632996,-1.0769701
6,0.8297675,-1.6420422,-1.3950577
7,0.8359362,-1.6755992,-1.5040555
8,1.1113487,-1.9290873,-1.6174059
9,1.3003535,-2.7068367,-1.9809835
10,1.6517127,-3.212549,-2.1869538
11,1.8351237,-3.4372902,-2.3264377
12,1.9748092,-3.7932527,-2.499323
13,2.1833496,-4.1356716,-2.8318818
14,2.0058908,-3.783905,-2.9410396
15,1.5538473,-3.3086042,-2.9778752
16,1.6840271,-4.1205034,-3.2483544
17,1.687572,-3.87745,-3.289256
18,1.95062,-4.435213,-3.5368934
19,2.0014098,-4.583177,-3.62753
20,1.871408,-4.6718216,-3.8321385
21,1.4403561,-3.6929376,-3.7447612
22,1.3772678,-3.9659624,-3.5912523
23,0.9928668,-3.7437618,-3.686452
24,1.3459256,-3.7368748,-3.7348099
25,1.2113838,-3.7787018,-3.624521
26,0.9745812,-3.7711782,-3.6892264
27,0.88348234,-3.2064178,-3.664143
28,0.78463674,-3.8517702,-3.7642412
29,0.73518205,-3.4578512,-3.7817335
30,0.6937652,-3.56344,-4.067768
31,0.5874783,-3.4025526,-3.8291006
32,0.40328187,-3.347121,-3.7074444
33,0.34438768,-3.2767327,-3.8389266
34,0.10567159,-2.5724025,-3.7711232
35,0.09011194,-2.8444312,-3.7372966
36,-0.0735772,-2.333558,-3.7729077
37,-0.17481317,-2.439499,-3.6669972
38,-0.264771,-2.1993687,-3.5644443
39,-0.3647197,-2.1033375,-3.5468237
40,-0.46609953,-1.863681,-3.193743
41,-0.6558114,-1.3092253,-2.923277
42,-0.6184088,-1.2308202,-2.8860612
43,-0.7486301,-1.0138854,-2.6774304
44,-0.8552676,-0.70932126,-2.4809504
45,-0.9676627,-0.5405051,-2.3468003
46,-0.91264015,-0.6392902,-2.176519
47,-1.0030065,-0.39734843,-1.9013509
48,-1.2491039,-0.09413281,-1.8089409
49,-1.0162271,-0.20017226,-1.702918
50,-1.0652182,-0.057774585,-1.5511222
51,-1.0085139,0.011458124,-1.3752204
52,-0.8858715,0.1259297,-1.1036485
53,-0.89353913,0.28843036,-0.92322326
54,-0.77115047,0.3601835,-0.73536074
55,-0.63647485,0.31844276,-0.6589902
56,-0.5034838,0.26516974,-0.5225649
57,-0.2081641,0.23136514,-0.27130055
58,-0.23740663,0.5657396,0.024690526
59,0.19245301,0.36800963,0.22204874
60,0.4313132,0.37872994,0.45912308
61,0.7004406,0.448945,0.8222246
62,0.95982677,0.20900255,0.8565894
63,1.234761,0.24695577,1.1821876
64,1.2892011,0.46210903,1.3761346
65,1.6388086,0.2938167,1.6042295
66,1.7419491,0.28213143,1.7160815
67,1.8700924,0.16805892,1.7318213
68,1.8746719,0.2198694,1.819955
69,1.9839946,0.32214066,2.0043812
70,2.070221,0.22864048,2.0197465
71,1.9981219,0.34131455,2.0416899
72,1.9715914,0.51450485,2.181941
73,2.1099658,0.4239404,2.1654174
74,2.083574,0.31014943,2.0912323
75,1.9949529,0.40965283,2.1108587
76,2.231926,0.09148521,1.9943594
77,1.968929,0.1889057,1.8647186
78,1.8416284,0.24749142,1.7876985
79,1.9503027,0.14276971,1.8054979
80,1.7796745,0.3294004,1.8385969
81,1.866872,0.055131946,1.5872493
82,1.7475027,0.17612107,1.6310802
83,1.7286506,-0.18558997,1.2401932
84,1.4406915,0.003658573,1.120254
85,1.1200106,0.25286302,1.0960628
86,1.2310915,0.08001622,1.0137681
87,0.96152306,0.48638064,1.0934639
88,0.9586916,0.3204612,0.980148
89,1.103334,0.32901615,1.1631609
90,1.0390869,0.283409,1.0304605
91,1.0833337,0.28571704,1.0277086
92,1.290662,0.07744111,1.0682328
93,1.1556399,0.115160175,0.98701453
94,1.2005994,0.08757229,0.9743008
95,1.2146015,0.16986792,1.1062703
96,1.2403631,0.027868532,0.97229886
97,1.3004386,-0.12933439,0.891474
98,1.0226932,0.14999962,0.906076
99,0.98872924,0.3823742,1.127006
100,0.90710384,0.483322,1.1300457
101,0.9545837,0.3438538,1.0005956
102,0.897927,0.48159006,1.0772427
103,0.88497937,0.4011983,1.0211381
104,1.0364044,0.34776413,1.1085287
105,1.1103077,0.020936456,0.8855002
106,1.199766,0.08702464,1.02101
