,Loss_G,Loss_D,Loss_D_0
0,0.25276825,5.0707397,-0.19062048
1,0.42492557,3.4208574,-0.55214876
2,0.6922326,0.9774276,-1.0874238
3,1.0500107,-1.9047197,-1.9095168
4,1.3136643,-3.885703,-2.9730916
5,1.6620601,-4.8141584,-3.877588
6,1.940769,-5.1530075,-4.025987
7,1.9874206,-5.111349,-4.0451293
8,2.0157957,-5.1806474,-4.105437
9,1.9434153,-4.8958416,-3.9312413
10,1.8733296,-4.9094048,-3.8940897
11,1.9441916,-4.630131,-3.5875788
12,1.8624448,-4.8127637,-3.7363384
13,1.7786549,-4.821781,-3.812233
14,1.5103328,-4.4786644,-3.77614
15,1.2265333,-4.2814655,-3.8934605
16,0.97280324,-4.1922283,-3.870344
17,0.60349923,-3.6320288,-3.8361037
18,0.10192902,-3.4214127,-4.014816
19,-0.12940866,-3.1792502,-4.037055
20,-0.54363906,-3.0236893,-4.1445446
21,-0.86761785,-2.8211582,-4.305635
22,-1.1919045,-2.5892644,-4.2602253
23,-1.6509606,-2.2141237,-4.3779306
24,-1.7855954,-2.3296962,-4.5446978
25,-2.1311438,-2.2257342,-4.7781653
26,-2.3167763,-1.6616937,-4.4103146
27,-2.50257,-1.7571653,-4.6458645
28,-2.6653702,-1.6295801,-4.6558247
29,-2.8989131,-1.4731307,-4.6559176
30,-3.0954776,-1.1123524,-4.5472775
31,-3.3259687,-0.98323905,-4.670968
32,-3.8255022,-0.6299031,-4.738776
33,-4.0773005,-0.3755406,-4.6966176
34,-4.2914786,-0.41146588,-4.99555
35,-4.609611,-0.10303232,-4.951422
36,-4.6486444,-0.010021468,-4.9062166
37,-4.921763,0.22769462,-4.986541
38,-5.231924,0.3506912,-5.1438866
39,-5.595426,0.64948505,-5.19716
40,-5.307633,0.40479815,-5.2250977
41,-5.0451627,0.19763218,-5.078263
42,-5.1086135,0.64797646,-4.666533
43,-5.35421,1.1443051,-4.477747
44,-5.1341634,1.1885221,-4.2518635
45,-4.7440658,1.1449704,-3.9339392
46,-4.8800025,1.5356673,-3.6405706
47,-4.7170467,1.7979077,-3.264795
48,-4.276729,1.9087489,-2.798117
49,-3.6929202,1.419632,-2.7126274
50,-3.2318957,1.2236408,-2.3608012
51,-2.7841482,1.3001672,-1.9137753
52,-2.948174,1.6269356,-1.7068067
53,-2.8514137,1.8655467,-1.454884
54,-2.602167,1.7160227,-1.3439198
55,-2.316293,1.7283281,-1.0762335
56,-2.22323,1.910972,-0.79775107
57,-1.8859293,1.9142416,-0.43748447
58,-1.3902636,1.857123,-0.002087434
59,-1.0793837,1.8820724,0.25997046
60,-0.51527387,1.7514777,0.65122145
61,0.19454612,1.1916068,0.7894853
62,0.87373364,0.90391624,1.2608494
63,1.4632297,0.6990063,1.673882
64,2.2465117,0.23843063,2.028223
65,2.8920012,0.12513033,2.647831
66,3.5377083,-0.22029203,2.7700155
67,3.7900527,-0.50049216,2.846779
68,3.8206155,-0.32805958,2.9656248
69,3.5878012,-0.26055992,2.7841454
70,3.144274,-0.116669655,2.6200244
71,2.8478541,0.27214262,2.6502068
72,2.6682515,0.034318056,2.3143969
73,2.308844,0.33590168,2.2437215
74,2.2140894,0.18560751,2.0041735
75,1.9685044,0.1533166,1.7421355
76,1.9990788,0.029728452,1.6582773
77,1.9087203,-0.024257282,1.5062618
78,1.8494134,-0.26736245,1.2812059
79,1.7542964,-0.38704103,1.0285592
80,1.4803743,-0.28583062,0.87624604
81,1.1385431,-0.36342043,0.47867578
82,0.6381736,-0.08240443,0.24401787
83,0.41083112,-0.27487358,-0.13730834
84,-0.31321704,0.24404328,-0.32687342
85,-0.5068495,0.31862813,-0.48766163
86,-0.6419112,0.4804828,-0.4537481
87,-0.80407184,0.4327638,-0.7099334
88,-0.5511982,0.34152249,-0.51249605
89,-0.30775926,0.124936685,-0.47729126
90,0.1914716,-0.07223233,-0.18328193
91,0.7404026,-0.46728167,-0.06360881
92,0.79102445,-0.70760655,-0.20998186
93,0.6348291,-0.4115515,-0.14503638
94,0.4975635,-0.1488304,-0.0027352525
95,0.6275351,-0.29932782,-0.03569437
96,0.4353522,0.124135084,0.18036486
97,0.08156335,0.30391473,0.067481555
98,-0.17204829,0.53579795,0.051471576
99,-0.4290942,0.6265704,-0.090055734
100,-0.653778,0.9039891,-0.1292886
101,-0.62938184,1.0410092,0.07853989
102,-0.6835189,1.1261294,0.10008041
103,-0.2669834,0.85626906,0.20343822
104,-0.05464335,0.6914955,0.283389
105,-0.21247068,0.9449257,0.3857288
106,-0.24635059,0.9345989,0.23469001
107,-0.66872936,1.246163,0.22193436
108,-0.80020404,1.413581,0.15706629
109,-0.90418255,1.3843298,-0.032845393
110,-1.1783534,1.399614,-0.26649222
111,-1.502869,1.4551362,-0.5014913
112,-1.8450856,1.6257766,-0.70988905
113,-1.9560549,1.7509676,-0.7460162
114,-1.9247193,1.7023329,-0.8631558
115,-1.5770024,1.4755266,-0.76425815
116,-1.3800606,1.2974457,-0.7313347
117,-1.2100158,1.3020061,-0.56313515
118,-0.8843119,1.0843959,-0.5839708
119,-0.38562456,0.6711339,-0.4107419
120,0.009743052,0.39190015,-0.26514238
121,0.1584662,0.36416924,-0.038854714
122,0.28620553,0.2680886,0.011368927
123,0.48929098,0.39972755,0.47553527
124,1.1221315,0.038804978,0.61336774
125,1.5070682,-0.27153885,0.8338835
126,1.5491936,-0.1910958,0.9636901
127,1.3757536,0.17423023,1.1286876
128,1.6930616,-0.041493326,1.2103361
129,1.689405,-0.11504817,1.157344
130,1.4804358,0.037205976,1.1282204
131,1.1943018,0.24207576,1.0564009
132,1.3396938,0.056352608,1.0669032
133,1.2640239,0.056810584,1.0245004
134,1.0441169,0.24847624,0.97682166
135,0.8896903,0.29211253,0.86948574
136,0.64285725,0.32455257,0.6466753
137,0.1983221,0.5678232,0.44294554
138,0.021791436,0.7603605,0.42309225
139,0.1338862,0.46801642,0.30117646
140,0.22528107,0.33728674,0.2447551
141,0.08383671,0.38032448,0.13599867
142,-0.22418962,0.5847589,0.034730226
143,-0.41037232,0.53498447,-0.24791718
144,-0.597592,0.5348131,-0.3967982
145,-0.6913662,0.6599556,-0.3731695
146,-0.7217271,0.45058203,-0.6063587
147,-0.7807295,0.30429533,-0.8321371
148,-0.86560965,0.41042724,-0.8021695
149,-0.9506521,0.29279095,-0.9662358
150,-1.1447703,0.5296534,-0.9560926
151,-1.3928231,0.62157303,-1.1111653
152,-1.7112646,0.8422485,-1.2994978
153,-1.7860636,0.8786795,-1.2437301
154,-1.7564213,0.98007417,-1.1596951
155,-1.6311041,0.8029198,-1.2206393
156,-1.7084296,0.9319258,-1.2396686
157,-1.5366286,0.7828893,-1.1877712
158,-1.2378442,0.37999183,-1.2613463
159,-1.2594018,0.77854097,-0.9266026
160,-1.0032251,0.70895725,-0.70392704
