,Loss_G,Loss_D,Loss_D_0
0,-0.0070700604,6.214876,-0.23652145
1,-0.4009941,3.3401604,-0.8544136
2,-1.14781,0.7564794,-1.800027
3,-2.1175928,-0.69642186,-2.9917343
4,-2.3366966,-1.2939752,-3.7074924
5,-2.1671689,-1.4475274,-3.715355
6,-1.6783946,-1.7524705,-3.5353873
7,-1.0645251,-1.9347515,-3.1319118
8,-0.6013754,-1.9414719,-2.7016308
9,-0.10384894,-2.0080962,-2.303776
10,0.033634376,-1.9206367,-2.0958455
11,0.11586654,-1.8403367,-1.9317508
12,0.14218695,-1.749542,-1.7939004
13,0.005890839,-1.555734,-1.7354455
14,-0.007659664,-1.480027,-1.6381823
15,-0.12282409,-1.3970101,-1.6638343
16,-0.23504697,-1.3660669,-1.7403666
17,-0.50727624,-1.1822295,-1.8060098
18,-0.5964462,-1.1477141,-1.8784008
19,-0.78961504,-1.0628414,-1.9691137
20,-0.9556968,-1.0079521,-2.067851
21,-0.9892697,-0.8609993,-1.957401
22,-0.99945617,-0.88450617,-2.0070703
23,-1.3028432,-0.76167214,-2.1824346
24,-1.2472205,-0.7528677,-2.0903792
25,-1.3388456,-0.6724316,-2.1040988
26,-1.4597849,-0.6280781,-2.1789894
27,-1.5876375,-0.6110474,-2.28192
28,-1.6223395,-0.51742864,-2.220878
29,-1.6728541,-0.47572756,-2.2381997
30,-1.8855923,-0.4418787,-2.4107764
31,-1.8010066,-0.35632956,-2.2371438
32,-1.8022752,-0.39049017,-2.2823672
33,-1.9769088,-0.3711587,-2.4237957
34,-2.145713,-0.17948914,-2.4139037
35,-2.3509228,-0.21622208,-2.6499557
36,-2.2481036,-0.21566303,-2.5452979
37,-2.5528677,-0.087601215,-2.7263534
38,-2.7339482,-0.1413119,-2.9596083
39,-2.7299256,-0.066012956,-2.874556
40,-2.8804426,-0.03918347,-3.008057
41,-3.447741,0.07233851,-3.474843
42,-3.2395868,0.08540316,-3.2596636
43,-3.3461769,0.048031792,-3.3841987
44,-3.1373491,0.12942936,-3.103926
45,-3.4258468,0.14508346,-3.3724096
46,-3.762608,0.16641474,-3.68581
47,-3.950984,0.19519679,-3.843706
48,-3.9030561,0.22786453,-3.779437
49,-3.1996472,0.19305076,-3.1122594
50,-3.4341106,0.15758291,-3.3755727
51,-3.7746239,0.245765,-3.653965
52,-3.613628,0.30843857,-3.415923
53,-2.730009,0.105371445,-2.739621
54,-3.154589,0.14430358,-3.1258156
55,-2.6124508,0.16538483,-2.5484257
56,-2.0790012,0.073294975,-2.1172814
57,-1.4672489,0.14898837,-1.4411683
58,-1.3878934,0.01601375,-1.480981
59,-1.1580446,-0.025341107,-1.2938026
60,-0.9194143,-0.17598589,-1.2169585
61,-0.7448943,-0.20596644,-1.0741142
62,0.09477872,-0.24651572,-0.27852836
63,0.1902558,-0.23224926,-0.1689318
64,0.5992111,-0.5510081,-0.06265243
65,0.5993944,-0.49010584,-0.025757113
66,0.92354035,-0.5018655,0.28342023
67,1.2373279,-0.62664527,0.47541702
68,1.0264521,-0.49872842,0.39100423
