,Loss_G,Loss_D,Loss_D_0
0,0.26291686,5.518744,0.08562676
1,0.3994209,5.6125035,0.19715023
2,0.31760362,4.996135,0.14050995
3,0.39129674,5.269416,0.20888326
4,0.29494554,4.825444,0.16929588
5,0.52189976,4.118062,0.24217615
6,0.57583493,4.053321,0.20809393
7,0.59602225,3.692442,0.23574424
8,0.94279647,3.5033636,0.35701075
9,0.84352016,2.6925607,0.44328117
10,0.9768661,1.6815269,0.30909902
11,1.0415082,1.6753652,0.39984903
12,1.0821687,0.6601771,0.42147616
13,1.3208582,0.6633728,0.66148853
14,1.709247,-0.10830687,0.49405265
15,1.5789319,-0.49274287,0.623571
16,1.5773368,-0.13565463,0.62605846
17,2.119898,-1.1738088,0.727397
18,1.7368295,-0.49946678,0.9287335
19,2.216236,-1.1977175,0.7386852
20,1.7769963,-0.5232024,0.96574175
21,1.9957652,-0.8114399,0.7858393
22,1.6833086,-0.5396231,0.9026241
23,2.0019028,-0.6796611,0.9089277
24,1.9179034,-0.8254374,0.8766531
25,1.7996771,-0.3839069,1.1296054
26,2.119463,-0.96798986,0.87490875
27,2.0116172,-0.60606825,1.0877072
28,1.9857112,-0.6149708,1.0572777
29,1.8967438,-0.65628034,0.9980023
30,2.352201,-0.98736227,1.1157175
31,2.1064105,-0.7753097,1.0396385
32,2.2584066,-0.85317564,1.1055473
33,2.0720148,-0.43866003,1.3106024
34,2.2435298,-0.35514852,1.2614683
35,2.0503552,-0.46256325,1.2918379
36,2.1256378,-0.6362785,1.2011446
37,2.0987632,-0.5075003,1.3254497
38,2.0420794,-0.26469252,1.5219387
39,2.411662,-0.5608134,1.5632656
40,2.465616,-0.7741976,1.4776894
41,2.1769392,-0.48410165,1.4493275
42,2.6779747,-1.0257008,1.4511747
43,2.4384546,-0.8660387,1.3209007
44,2.4985094,-0.6490328,1.4662092
45,2.6901023,-0.839907,1.6798916
46,2.905951,-1.2437477,1.4748893
47,2.5538378,-0.76546645,1.5873607
48,2.4166915,-0.4947493,1.6540794
49,2.5801325,-0.4532713,1.4780196
50,2.7138162,-0.6580026,1.7749972
51,2.4377408,-0.71131873,1.5422553
52,2.421719,-0.48063836,1.5371137
53,2.2232873,-0.34008473,1.6073723
54,2.5214033,-0.6647551,1.6141485
55,2.0141246,-0.093196735,1.6843735
56,2.5329757,-0.7487367,1.6366519
57,2.056669,-0.21199045,1.6177903
58,2.2928557,-0.5077975,1.5966728
59,2.0967548,-0.3519876,1.4896613
60,1.953203,-0.027086481,1.6823627
61,1.9107299,-0.30315763,1.3262362
62,2.0466552,0.012674078,1.4912958
63,2.1539326,-0.48587567,1.4949216
64,2.0556598,-0.29579633,1.5545471
65,2.2476535,-0.6044079,1.4497926
66,2.0277011,-0.16928099,1.6578333
67,1.9090526,-0.12671666,1.4405017
68,1.8896725,0.024411738,1.5927143
69,2.0352807,-0.06044796,1.6061432
70,1.8916159,-0.160585,1.5284841
