,Loss_G,Loss_D,Loss_D_0
0,0.08138345,6.905312,0.08568184
1,0.18187575,6.396195,0.17699438
2,0.15111837,5.528321,0.18733571
3,0.11814952,4.981921,0.2807389
4,-0.032738622,4.340517,0.3286781
5,-0.040196285,4.2340927,0.40160507
6,0.17258704,3.3447618,0.60196006
7,0.010885904,2.886697,0.6390426
8,0.184708,2.1373496,0.5379677
9,-0.054937284,1.7700095,0.7162909
10,0.117550254,1.45832,0.86775017
11,0.27097034,1.1147249,0.8369006
12,0.25876278,0.99299854,0.8969668
13,0.060002863,1.1309474,0.82859933
14,0.2566559,0.7842578,0.7999834
15,0.27053538,0.95683855,0.9882153
16,0.53411067,0.4521942,0.7215039
17,0.31549484,0.87888324,0.91922593
18,0.059364133,1.0649234,0.8939362
19,-0.16298644,1.0405804,0.69895846
20,-0.28247714,1.4848409,1.0375898
21,-0.24479611,1.5448688,1.1123147
22,-0.35966647,1.6575549,1.0887365
23,-0.49244234,1.5353217,0.86544156
24,-0.53947717,1.817812,0.9647428
25,-0.86730015,2.3052337,0.98431516
26,-1.0906925,2.2844486,0.9586987
27,-0.85187805,1.9181006,0.72472733
28,-0.82816625,2.1134253,0.9199995
29,-0.7480666,1.7848045,0.74899656
30,-1.3008635,2.5310402,0.8313292
31,-1.1516643,2.5782814,1.0093278
32,-1.1158699,2.4628568,0.8992832
33,-0.9414009,2.5309517,0.9351318
34,-1.138445,2.813692,0.98591924
35,-0.5120217,1.6511123,0.75034106
36,-0.5976176,1.7685394,0.8684068
37,0.15552837,0.9370806,0.78635687
38,-0.15398559,1.4265976,0.85858655
39,0.05142174,0.72865504,0.55524284
40,-0.13336611,1.2926589,0.9761045
41,0.5040705,0.5337706,0.8205348
42,0.26660568,0.33068785,0.4492007
43,0.46070677,0.61610365,0.837738
44,0.27912784,0.6272948,0.6693252
45,0.57249165,0.68616897,0.86887753
46,0.6723976,0.33485588,0.62375057
47,0.4553691,0.40964398,0.58039916
48,0.43791163,0.15007585,0.30551678
49,0.8512703,-0.25454873,0.19623026
50,0.41907954,0.15848184,0.3461785
51,0.7535361,0.19475009,0.73186827
52,1.0492157,-0.07410255,0.7019893
53,1.2488198,-0.54321367,0.3742629
54,1.0359961,-0.35485327,0.48684978
55,1.4451492,-0.91486716,0.2616573
56,1.6454997,-1.247578,0.13531587
57,1.6849531,-1.1194911,0.32682264
58,2.276958,-1.7273076,0.29374978
59,1.8908027,-1.034462,0.48746693
60,1.9518523,-1.5209568,0.011438772
61,1.929802,-1.3894873,0.33270743
62,2.1942341,-1.7379258,0.22776496
63,1.695839,-1.0692116,0.43908694
64,1.4654418,-1.0550134,0.04517166
65,1.153099,-1.0006835,-0.13925692
66,1.2232391,-1.2788014,-0.28506824
67,0.9974781,-0.5260485,0.28925717
68,0.7740254,-0.5449045,0.019251205
69,0.75456005,-0.3155529,0.21153048
70,0.6794224,-0.4227842,0.08904256
71,0.4715967,-0.47482532,-0.22645825
72,0.36772433,-0.15378633,0.06982762
73,0.6938975,-0.4246236,0.06362584
74,0.23294067,-0.24297096,-0.16368786
75,0.0152080655,-0.054389782,-0.16261324
76,-0.111522205,-0.10176576,-0.33812386
77,-0.06991951,0.16977622,-0.05114936
78,0.13244061,0.10364988,0.11161897
79,-0.08112581,-0.10649894,-0.33167115
80,-0.11104369,0.054798543,-0.23047723
81,-0.20220163,0.35558906,0.037580684
82,-0.32637584,0.4264928,-0.14466639
83,-0.24774489,0.06946802,-0.3417616
84,-0.25077435,0.52376735,0.12316997
85,-0.52737224,0.5386858,-0.14643301
86,-0.44310468,0.39001307,-0.1992065
87,-0.3830694,0.6809454,0.06452789
88,-0.4788788,0.50093746,-0.15846235
89,-0.48087883,0.51581955,-0.15340607
90,-0.59488475,0.79564035,-0.06059169
91,-0.458047,0.6154006,0.010258708
92,-0.5646582,1.1790833,0.26956326
93,-0.45686966,0.58396953,-0.15679944
94,-0.4731725,0.77587426,0.1363155
95,-0.53049123,0.62857187,-0.07892546
96,-0.32119855,0.68816817,0.17015342
97,-0.3976303,0.8158033,0.23281375
98,-0.35348466,0.54289544,0.028275074
99,-0.21826708,0.5850837,0.039143123
100,-0.34514463,0.5751015,0.052002132
101,-0.32771814,0.7794241,0.2388763
102,-0.09077235,0.6066538,0.22484185
103,-0.010759973,0.3568932,0.10267018
104,-0.24163854,0.70675504,0.26114154
105,0.15057461,-0.08886087,-0.1431255
106,0.35021898,-0.40005633,-0.19286138
107,0.36362097,-0.09414601,0.10376429
108,0.6652114,-0.21916763,0.27482417
109,0.7966377,-0.6818542,-0.030643985
110,0.53761524,0.112840556,0.31157947
111,1.0686319,-0.34290415,0.5524336
112,1.2968535,-0.65359294,0.4733566
113,0.8769312,-0.53097117,0.16194871
114,0.89593923,-0.33061668,0.36593527
115,1.0389953,-0.3803745,0.39510012
116,1.0433667,-0.26500672,0.5806655
117,1.0066525,-0.06674901,0.77445924
118,1.3445182,-0.4146422,0.73723483
119,1.2967283,-0.3231832,0.816515
120,1.1088157,-0.23449297,0.6363276
121,1.4765279,-0.9404913,0.3817269
122,1.1925182,-0.50970817,0.51464754
123,0.88534534,-0.2802196,0.4734151
124,0.93022835,-0.13176396,0.54312384
125,0.6360237,0.43947273,0.8996409
126,0.98612624,0.0036195219,0.88541096
127,0.66374886,-0.1540002,0.3862645
128,0.8855997,-0.043738462,0.7115642
129,0.62365913,-0.1251639,0.36131638
130,0.7621104,0.007759016,0.6153522
131,0.54089284,0.4819105,0.7203722
132,0.58564997,-0.031237353,0.43044186
133,0.5116769,0.27361405,0.5303287
134,0.43178555,0.39406484,0.60060674
135,0.26633987,0.37717885,0.51492965
136,0.3187766,0.4789789,0.64115524
137,0.37535822,0.081298284,0.28070176
138,0.3209013,0.060749307,0.20678557
139,0.18440022,0.41929343,0.42472452
140,-0.12645945,0.6084548,0.32835382
141,-0.2087321,0.8743804,0.3476884
142,-0.1652592,0.45711735,0.12863863
143,-0.47673738,0.9130738,0.2016238
144,-0.49790636,0.7696015,-0.014843255
145,-0.516552,1.0944309,0.27743614
146,-0.589319,0.8566461,0.056504287
147,-0.62972575,1.0288732,0.2145232
148,-0.43950742,0.9261888,0.2097893
149,-0.69088376,1.04352,0.18410236
150,-0.6226846,1.1463811,0.16565894
151,-0.39816138,0.17760332,-0.42593333
152,-0.4205536,0.6015051,-0.06025662
153,-0.35132357,0.42053488,-0.29012007
154,-0.61642516,0.75735927,-0.012572065
155,-0.81664664,1.5122178,0.1867306
156,-1.0844679,0.9024999,-0.38417712
157,-0.7755219,0.55637556,-0.38985163
158,-1.1968312,1.0640445,-0.2841653
159,-1.3173261,0.90328634,-0.57670784
160,-1.080019,0.9677228,-0.4272985
161,-1.4611202,1.3406222,-0.29767373
162,-1.1030402,0.9866897,-0.38411364
163,-1.2167962,0.81608,-0.5640563
164,-1.2105547,1.0573244,-0.3564144
165,-1.3187892,0.90341866,-0.6358422
166,-0.8987073,0.42558563,-0.7135893
167,-0.5039001,0.053737223,-0.84383893
168,-0.4707321,-0.019837439,-0.8241423
169,-0.4217275,0.27143717,-0.45381194
170,-0.5035021,0.17237754,-0.6832258
171,-0.5102635,-0.05944261,-0.8853174
172,-0.35300353,-0.038629945,-0.5779077
173,-0.53458893,-0.13495605,-0.82507545
174,-0.50874233,-0.35204786,-1.002062
175,-0.69503546,-0.060984574,-0.92761874
176,-0.5070763,-0.26839307,-0.8887752
177,-0.7878355,-0.0579952,-1.0183249
178,-1.0722119,0.78704345,-0.5285097
179,-1.2735379,0.63143504,-0.78641087
