,Loss_G,Loss_D,Loss_D_0
0,1.5689799,-0.4292779,-0.89552945
1,1.5797472,-0.4794249,-0.91199946
2,1.7041417,-0.4642372,-0.92620605
3,1.5618497,-0.28432778,-0.7263905
4,1.6628827,-0.36038053,-0.83241767
5,1.7910758,-0.41668087,-0.92853284
6,1.7322752,-0.3750514,-0.80194074
7,1.8218231,-0.35889292,-0.7651283
8,1.8198134,-0.33467105,-0.80517185
9,1.8314383,-0.41610542,-0.87790686
10,1.7859184,-0.30086115,-0.733945
11,1.8639503,-0.31624302,-0.75717545
12,1.8677088,-0.37853345,-0.8439982
13,1.8390505,-0.29916683,-0.7234982
14,1.8367639,-0.23490554,-0.69849074
15,1.9287763,-0.37971362,-0.81665623
16,1.7885484,-0.2903418,-0.733545
17,1.7997698,-0.3553585,-0.7732758
18,1.8388909,-0.22663109,-0.80065894
19,1.8718872,-0.45179728,-0.8165138
20,1.7818239,-0.27710596,-0.7499214
21,1.7039407,-0.2251451,-0.6665342
22,1.8495969,-0.40798166,-0.83229697
23,1.8285062,-0.3370916,-0.7869266
24,1.8951993,-0.29937902,-0.77308106
25,1.9939458,-0.36074725,-0.8239449
26,2.071152,-0.32952905,-0.86689913
27,1.9381493,-0.26324558,-0.7367585
28,1.9882159,-0.37904018,-0.8602057
29,1.9714892,-0.2959775,-0.74198633
30,1.8964198,-0.340139,-0.7056902
31,2.074449,-0.29728907,-0.84299767
32,2.0787575,-0.32069793,-0.7792575
33,1.984557,-0.3475189,-0.7780871
34,1.8007537,-0.22211426,-0.69464374
35,1.7641368,-0.3936112,-0.7894108
36,1.8458483,-0.35840398,-0.7418125
37,1.8915515,-0.24670833,-0.71151876
38,1.9108557,-0.29451725,-0.7292637
39,1.9172205,-0.25563928,-0.70742863
40,2.0024157,-0.39827764,-0.83931947
41,1.7094029,-0.16891697,-0.6234182
42,1.7428751,-0.15864536,-0.5979192
43,1.9691437,-0.22547409,-0.7066081
44,1.9391558,-0.23403253,-0.63863635
45,1.9502493,-0.19512855,-0.64612097
46,1.9918175,-0.15763047,-0.60147136
47,2.1388383,-0.24894997,-0.6384484
48,1.9565754,-0.27252328,-0.60288453
49,2.0618582,-0.18182588,-0.5888197
50,2.2098398,-0.20293882,-0.6729462
51,2.164422,-0.19435698,-0.62117684
52,2.0552974,-0.33445185,-0.70515305
53,1.8843365,-0.21735655,-0.69650126
54,1.8330528,-0.15768464,-0.5951338
55,2.0061216,-0.33582237,-0.7926125
56,1.7750726,0.05203724,-0.418075
57,2.0189586,-0.28243965,-0.68864274
58,2.0917754,-0.25604323,-0.66153926
59,1.9822316,-0.24244533,-0.669553
60,1.8621573,-0.12906188,-0.55897915
61,1.8504293,-0.23795302,-0.69480413
62,1.8035098,-0.2394449,-0.62098855
63,1.8704224,-0.09856251,-0.6355672
64,1.8217237,-0.04293343,-0.49687794
65,1.8447775,-0.15599321,-0.64042944
66,1.8093238,-0.08049477,-0.5057801
67,2.022794,-0.25195697,-0.735659
68,1.7544049,-0.14766043,-0.52867997
69,1.889343,-0.008007801,-0.49707085
70,1.7292905,-0.33799207,-0.68157935
71,1.7608294,-0.15875489,-0.5480537
72,1.7758329,-0.16969994,-0.58616847
73,1.7110118,-0.21432307,-0.6269993
74,1.6243911,-0.089458264,-0.4772426
75,1.689085,-0.22028214,-0.5811067
76,1.8064802,-0.18196946,-0.5570086
77,1.7094132,-0.20847368,-0.65445787
78,1.5938144,-0.25269547,-0.64549863
79,1.5176184,-0.16836789,-0.5215689
80,1.5967225,0.044523034,-0.57461905
81,1.5712547,-0.1322722,-0.48675978
82,1.5662017,-0.09521569,-0.5180897
83,1.8562118,-0.2488639,-0.6526025
84,1.7697501,-0.14517003,-0.49315235
85,1.7048525,-0.115951404,-0.55584764
86,1.4284925,-0.113114305,-0.52405334
87,1.53178,0.017212205,-0.44056174
88,1.8735452,-0.2386992,-0.6677692
89,1.5637501,-0.109088846,-0.48506328
90,1.5922161,0.07455095,-0.37156928
91,1.6050919,-0.090646096,-0.44692892
92,1.4156687,0.015186045,-0.3663977
93,1.7072804,-0.08264583,-0.49270847
94,1.6191248,-0.11145316,-0.4597655
95,1.3809414,0.07393633,-0.32359546
96,1.2577105,-0.10179479,-0.5074552
97,1.2496403,-0.0392845,-0.46098566
98,1.1539996,-0.040714964,-0.41199556
99,1.2855792,-0.15513471,-0.53783154
100,1.3203262,-0.13125259,-0.49970546
101,1.1868867,-0.036282275,-0.51212096
102,1.2083752,-0.041889336,-0.421246
103,1.161941,-0.1293868,-0.5616553
104,0.9549265,0.00853313,-0.40842643
105,1.1805588,-0.12400132,-0.5593834
106,1.1081519,-0.049188502,-0.4485251
107,1.054088,-0.11526998,-0.43809405
108,1.2553747,-0.14346284,-0.58068436
109,0.99725914,0.018879341,-0.3824407
110,1.0848566,-0.009957963,-0.56377333
111,0.7579777,0.0059742066,-0.40228435
112,0.88341916,0.08756313,-0.34528086
113,1.0511911,-0.10558739,-0.5824105
114,0.7444969,0.08739955,-0.28970766
115,1.1500249,-0.12348342,-0.5177937
116,0.7877347,-0.08596334,-0.43622768
117,0.59560233,-0.119430594,-0.5132506
118,0.45748106,-0.09861988,-0.47416434
119,0.5837695,-0.0795199,-0.5095061
120,0.75028026,-0.24531119,-0.5501411
121,0.93728,-0.15627553,-0.5890397
122,0.7241101,-0.17464426,-0.5215724
123,0.59677726,-0.031293772,-0.4518459
124,0.56770104,0.05904214,-0.33932182
125,1.0949749,-0.22732326,-0.6275718
126,1.3478487,-0.2882017,-0.62954956
127,1.3879356,-0.14976539,-0.49310943
128,1.2546929,0.042091742,-0.39620006
129,1.4471726,0.044537935,-0.43093735
130,1.4458146,-0.16840166,-0.6320279
131,1.2015032,-0.30802026,-0.6639616
132,1.3259888,-0.29901686,-0.71806943
133,1.2188048,-0.15533975,-0.49360335
134,0.9893144,-0.053921692,-0.44187382
135,1.0697414,-0.058280572,-0.5138646
136,1.2865518,-0.14785607,-0.5688981
137,1.3324699,-0.29465392,-0.63136554
138,1.2576537,-0.15398209,-0.52055
139,1.1382302,0.050475474,-0.30112574
140,1.3783704,0.008897318,-0.4716283
141,1.174469,-0.43699986,-0.7665933
142,1.140613,-0.33950317,-0.68529373
143,0.8734988,-0.15424429,-0.55411285
144,0.7148291,-0.10990347,-0.48380482
145,1.0087723,-0.27236235,-0.65598005
146,1.2812464,-0.28348574,-0.6663306
147,1.1869822,-0.22193092,-0.6019548
148,1.0435737,-0.17407292,-0.56008476
149,0.9886251,-0.13458468,-0.57176185
150,1.1835941,-0.30156824,-0.6981076
151,1.1676809,-0.46665207,-0.80449253
