,Loss_G,Loss_D,Loss_D_0
0,0.20863158,7.561696,0.1377352
1,0.16773224,7.0992665,0.15684266
2,0.05318037,6.6034527,0.16782013
3,-0.06464348,6.1199827,0.17509586
4,-0.18162325,5.6645203,0.15957402
5,-0.298746,5.304637,0.13481826
6,-0.44904363,4.8559885,0.085454546
7,-0.5480715,4.3337994,0.07874489
8,-0.6361252,3.7455382,0.03266628
9,-0.7620427,3.2595239,-0.043092947
10,-0.83758295,2.8837605,-0.09015141
11,-0.9835948,2.462026,-0.15587404
12,-1.077671,2.0937066,-0.2335496
13,-1.077929,1.7660304,-0.27993605
14,-1.161277,1.4260633,-0.37477928
15,-1.2269421,1.235811,-0.44834384
16,-1.0996189,0.8954328,-0.57211226
17,-1.0487708,0.5921438,-0.6514865
18,-0.9857885,0.4444102,-0.7608526
19,-1.0126778,0.3316479,-0.8181509
20,-0.9616971,0.18184027,-0.90684724
21,-0.9931424,0.16073129,-0.9275715
22,-0.9015167,-0.007813476,-1.0116477
23,-0.86301297,-0.06614427,-1.0367708
24,-0.84182304,-0.15972805,-1.1337965
25,-0.79466337,-0.21008596,-1.104446
26,-0.751511,-0.29710048,-1.1406267
27,-0.66278064,-0.36057854,-1.1143177
28,-0.5747579,-0.44820502,-1.1150209
29,-0.5652379,-0.4466924,-1.1260097
30,-0.54524225,-0.45240927,-1.1000195
31,-0.4749224,-0.56703436,-1.1116201
32,-0.40525526,-0.6087012,-1.099692
33,-0.2832088,-0.6564812,-1.0207896
34,-0.16911225,-0.7898292,-1.0316048
35,0.0075018797,-0.86446786,-0.95312893
36,0.13320443,-0.93584025,-0.88335276
37,0.30712697,-1.0526438,-0.8286259
38,0.43883824,-1.1218351,-0.7599313
39,0.5619185,-1.134186,-0.6553948
40,0.86277795,-1.3044055,-0.5656752
41,1.0178757,-1.3923392,-0.47983223
42,1.2179906,-1.395282,-0.3337403
43,1.4959002,-1.5928547,-0.233476
44,1.533009,-1.5709229,-0.19200522
45,1.5586176,-1.5162755,-0.10027762
46,1.814326,-1.6784155,-0.014119782
47,1.9076351,-1.5997264,0.115148164
48,1.9417596,-1.6880722,0.12020302
49,2.2204118,-1.739054,0.24573892
50,2.2376606,-1.7055875,0.31974167
51,2.1617699,-1.5899582,0.35311878
52,2.2803664,-1.6620772,0.3955167
53,2.3544483,-1.7971233,0.40654904
54,2.6312053,-1.8778908,0.48156264
55,2.4988055,-1.6375444,0.61426806
56,2.5485168,-1.631496,0.65677506
57,2.471026,-1.5244799,0.71546125
58,2.6548026,-1.7168219,0.6938212
59,2.6271255,-1.5203593,0.8563601
60,2.5568905,-1.5545182,0.7767746
61,2.6183548,-1.4740514,0.9003724
62,2.5407314,-1.5311419,0.8382412
63,2.6586428,-1.4721389,0.95043904
64,2.5008805,-1.4317434,0.87194985
65,2.5657573,-1.4579387,0.8932425
66,2.5692277,-1.3655181,0.9648129
67,2.4757125,-1.312124,0.96736026
68,2.5919228,-1.4328482,0.97561884
69,2.6381407,-1.445183,1.0158587
70,2.3841724,-1.2468228,0.92776597
71,2.4344425,-1.3444018,0.97893274
72,2.5045907,-1.3383619,0.98472995
73,2.4850466,-1.3428755,0.94459414
74,2.7247071,-1.5643754,1.0230135
75,2.561508,-1.2987391,1.0886505
76,2.6043668,-1.3285388,1.1201046
77,2.660128,-1.355186,1.1166774
78,2.670311,-1.3337497,1.1957471
79,2.6152406,-1.2921753,1.2031792
80,2.6851578,-1.2622008,1.2284659
81,2.7377853,-1.3347474,1.2657571
82,2.5019846,-1.1198956,1.2311578
83,2.7156868,-1.152091,1.3783314
84,2.7516484,-1.2125988,1.398726
85,2.758551,-1.2114086,1.4304793
86,2.7081306,-1.2051936,1.3988984
87,2.6024632,-0.9229141,1.512934
88,2.8113112,-1.1213901,1.5760598
89,2.8082323,-1.1405764,1.5485104
90,2.7017188,-0.90410227,1.5951627
91,2.7749162,-1.0746264,1.5713814
92,2.8270466,-1.0912185,1.6124939
93,2.8674738,-1.0002958,1.7001395
94,2.8169994,-0.86561596,1.7923155
95,3.060974,-1.0956385,1.8220257
96,2.940383,-0.91565925,1.8844557
97,2.9052763,-0.9252719,1.836111
98,2.9004383,-1.0572305,1.7347691
